"True Beauty","女神降临",https://www.viki.com/tv/37374c-true-beauty,100,9.58,443063,39,2020-09-04T03:11:59Z,kr
"What’s Wrong With Secretary Kim","金秘书为何那样",https://www.viki.com/tv/35835c-whats-wrong-with-secretary-kim,98,9.67,529678,49,2018-03-14T04:51:31Z,kr
"Sh**ting Stars","《Sh**ting Stars》",https://www.viki.com/tv/38405c-shting-stars,100,9.5,127449,30,2022-03-02T09:27:01Z,kr
"Guardian: The Lonely and Great God","孤单又灿烂的神—鬼怪",https://www.viki.com/tv/31706c-guardian-the-lonely-and-great-god,97,9.71,164413,4,2016-04-19T19:56:56Z,kr
"Extra-ordinary You","意外发现的一天",https://www.viki.com/tv/36728c-extra-ordinary-you,100,9.33,67420,17,2019-08-20T06:04:12Z,kr
"So I Married The Anti-Fan","所以我和黑粉结婚了",https://www.viki.com/tv/37777c-so-i-married-the-anti-fan,100,9.35,107915,40,2021-04-09T01:29:17Z,kr
"Suspicious Partner","奇怪的搭档",https://www.viki.com/tv/34557c-suspicious-partner,100,9.52,158872,0,2017-02-17T05:43:28Z,kr
"Strong Woman Do Bong Soon","大力女子都奉顺",https://www.viki.com/tv/32311c-strong-woman-do-bong-soon,99,9.72,264077,3,2016-06-03T07:01:57Z,kr
"Descendants of the Sun","太阳的后裔",https://www.viki.com/tv/23205c-descendants-of-the-sun,99,9.73,165814,7,2014-02-18T12:38:49Z,kr
"My Roommate is a Gumiho","我的室友是九尾狐",https://www.viki.com/tv/37880c-my-roommate-is-a-gumiho,100,9.56,173982,6,2021-05-29T02:16:42Z,kr
"Semantic Error","《Semantic Error》",https://www.viki.com/tv/38375c-semantic-error,99,9.7,152964,1,2022-02-03T02:16:47Z,kr
"Mr. Queen","哲仁王后",https://www.viki.com/tv/37480c-mr-queen,98,9.71,180915,36,2020-11-05T01:54:18Z,kr
"Live Your Own Life","《孝心的家，各自为生》",https://www.viki.com/tv/40163c-live-your-own-life,99,8.12,432,1,2023-09-07T02:10:03Z,kr
"Forest","《F》",https://www.viki.com/tv/36981c-forest,99,9.36,100561,23,2020-01-20T08:23:24Z,kr
"Tale of the Nine-Tailed","九尾狐传",https://www.viki.com/tv/37373c-tale-of-the-nine-tailed,99,9.6,181296,30,2020-09-04T03:11:53Z,kr
"My Love From the Star","来自星星的你",https://www.viki.com/tv/20503c-my-love-from-the-star,100,9.49,129254,11,2013-06-27T06:25:50Z,kr
"My Strange Hero","福秀回来了",https://www.viki.com/tv/36330c-my-strange-hero,100,9.45,105477,18,2018-10-12T03:05:33Z,kr
"The Legend of the Blue Sea","蓝色海洋的传说",https://www.viki.com/tv/32240c-the-legend-of-the-blue-sea,97,9.61,131802,1,2016-05-30T08:53:47Z,kr
"W","W",https://www.viki.com/tv/30854c-w,99,9.55,290966,13,2016-02-02T06:42:20Z,kr
"Weightlifting Fairy, Kim Bok-joo","举重妖精金福珠",https://www.viki.com/tv/32634c-weightlifting-fairy-kim-bok-joo,99,9.7,176777,8,2016-07-01T18:38:06Z,kr
"Born Again","Born Again",https://www.viki.com/tv/37088c-born-again,100,8.95,17489,20,2020-04-01T03:13:16Z,kr
"I Am Not a Robot","不是机器人啊",https://www.viki.com/tv/35618c-i-am-not-a-robot,99,9.59,130860,0,2017-09-08T05:56:25Z,kr
"My ID Is Gangnam Beauty","我的 ID 是江南美人",https://www.viki.com/tv/36424c-my-id-is-gangnam-beauty,98,9.4,201156,0,2018-12-11T09:31:06Z,kr
"The Red Sleeve","衣袖红镶边",https://www.viki.com/tv/38101c-the-red-sleeve,100,9.48,95205,5,2021-09-06T07:10:08Z,kr
"Heirs","继承者们",https://www.viki.com/tv/12699c-heirs,99,9.46,225218,2,2013-03-29T01:31:07Z,kr
"Doom at Your Service","某一天灭亡来到我家门前",https://www.viki.com/tv/37776c-doom-at-your-service,100,9.53,244930,35,2021-04-08T03:25:17Z,kr
"Weak Hero Class 1","弱美男英雄 Class 1",https://www.viki.com/tv/38971c-weak-hero-class-1,98,9.62,52986,0,2022-11-17T06:02:19Z,kr
"While You Were Sleeping","当你熟睡时",https://www.viki.com/tv/33538c-while-you-were-sleeping,99,9.62,303682,21,2016-10-24T03:41:24Z,kr
"Uncontrollably Fond","任意依恋",https://www.viki.com/tv/28954c-uncontrollably-fond,96,9.35,141470,0,2015-08-20T03:13:10Z,kr
"Kiss Goblin","Kiss 妖怪",https://www.viki.com/tv/37458c-kiss-goblin,100,9.22,199908,0,2020-10-20T01:53:19Z,kr
"Level Up","新作",https://www.viki.com/tv/36585c-level-up,99,8.78,33829,12,2019-05-03T01:55:10Z,kr
"Boys Over Flowers","花样男子",https://www.viki.com/tv/50c-boys-over-flowers,70,9.45,125383,26,2008-12-11T12:44:14Z,kr
"Love In Contract","月水金火木土",https://www.viki.com/tv/38782c-love-in-contract,100,9.22,86677,21,2022-08-19T05:54:06Z,kr
"Birth of the Beauty","美女的诞生",https://www.viki.com/tv/24286c-birth-of-the-beauty,98,9.24,25285,6,2014-06-03T23:41:05Z,kr
"The Eighth Sense","《第八感》",https://www.viki.com/tv/39344c-the-eighth-sense,99,9.71,42035,3,2023-01-26T05:22:03Z,kr
"Princess Hours","宫",https://www.viki.com/tv/72c-princess-hours,85,9.21,32734,0,2009-01-23T05:55:12Z,kr
"Our Dating Sim","我们的恋爱模拟",https://www.viki.com/tv/39574c-our-dating-sim,99,9.56,45201,6,2023-02-16T02:38:14Z,kr
"Melting Me Softly","融化我吧",https://www.viki.com/tv/36676c-melting-me-softly,100,9.24,143397,30,2019-07-15T03:02:43Z,kr
"She Was Pretty","她很漂亮",https://www.viki.com/tv/28448c-she-was-pretty,99,9.5,93624,13,2015-07-07T11:43:08Z,kr
"Where Stars Land","《狐狸新娘星》",https://www.viki.com/tv/36298c-where-stars-land,100,9.28,71332,3,2018-09-13T03:19:26Z,kr
"Noble, My Love","高贵的你",https://www.viki.com/tv/36731c-noble-my-love,99,9.01,48107,25,2019-08-20T06:04:23Z,kr
"Her Private Life","她的私生活",https://www.viki.com/tv/36550c-her-private-life,95,9.49,163080,31,2019-03-27T05:31:07Z,kr
"Kill Me Heal Me","杀了我治愈我",https://www.viki.com/tv/22811c-kill-me-heal-me,99,9.62,66972,1,2014-01-16T01:56:31Z,kr
"Cinderella and Four Knights","灰姑娘与四骑士",https://www.viki.com/tv/36746c-cinderella-and-four-knights,100,9.54,119896,1,2019-08-30T08:07:56Z,kr
"Doctor Stranger","Doctor异乡人",https://www.viki.com/tv/22343c-doctor-stranger,96,9.17,60383,5,2013-12-05T14:33:21Z,kr
"Hotel Del Luna","德鲁纳酒店",https://www.viki.com/tv/36667c-hotel-del-luna,99,9.6,184235,34,2019-07-10T01:42:30Z,kr
"Our Blooming Youth","青春月谭",https://www.viki.com/tv/39181c-our-blooming-youth,100,9.45,46191,14,2023-01-05T05:20:18Z,kr
"Flower of Evil","恶之花",https://www.viki.com/tv/37073c-flower-of-evil,99,9.73,165933,24,2020-03-19T09:27:49Z,kr
"Healer","治愈者",https://www.viki.com/tv/23730c-healer,97,9.71,89752,0,2014-04-18T08:43:04Z,kr
"Light On Me","照亮我的光",https://www.viki.com/tv/37454c-light-on-me,100,9.53,52751,12,2020-10-20T01:47:31Z,kr
"Why Her?","《为何是吴秀才？》",https://www.viki.com/tv/38290c-why-her,99,9.49,55384,5,2021-12-10T02:51:05Z,kr
"Reborn Rich","财阀家的小儿子",https://www.viki.com/tv/38899c-reborn-rich,100,9.53,64605,57,2022-10-12T07:40:24Z,kr
"Roommates of Poongduck 304","风德住宅304号的事因",https://www.viki.com/tv/38790c-roommates-of-poongduck-304,100,9.44,35000,6,2022-08-26T01:37:05Z,kr
"Backstreet Rookie","便利店新星",https://www.viki.com/tv/37883c-backstreet-rookie,99,9.19,81947,0,2021-05-31T02:38:18Z,kr
"Happiness","幸福",https://www.viki.com/tv/38039c-happiness,99,9.64,163761,35,2021-08-02T06:44:25Z,kr
"Hwarang: The Poet Warrior Youth","花郎",https://www.viki.com/tv/29810c-hwarang-the-poet-warrior-youth,97,9.66,166151,7,2015-11-02T07:10:54Z,kr
"About Time","想暂停的瞬间",https://www.viki.com/tv/35745c-about-time,100,9.26,46601,32,2017-12-12T05:47:21Z,kr
"The Secret Life of My Secretary","初次见面我爱你",https://www.viki.com/tv/36570c-the-secret-life-of-my-secretary,99,9.41,79027,18,2019-04-12T10:02:45Z,kr
"Empress Ki","奇皇后",https://www.viki.com/tv/37211c-empress-ki,99,9.43,21873,0,2020-06-05T03:19:59Z,kr
"Lovers of the Red Sky","红天机",https://www.viki.com/tv/37634c-lovers-of-the-red-sky,99,9.46,82799,16,2021-01-12T07:59:06Z,kr
"Doctors","Doctors",https://www.viki.com/tv/31066c-doctors,89,9.46,65548,0,2016-02-18T09:58:35Z,kr
"Rich Man, Poor Woman","富贵男与贫穷女",https://www.viki.com/tv/35744c-rich-man-poor-woman,93,9.1,68535,20,2017-12-12T05:47:16Z,kr
"Wok of Love","油腻的Melo",https://www.viki.com/tv/35838c-wok-of-love,99,9.45,51331,6,2018-03-14T04:51:32Z,kr
"Degree of Love","《爱情的温度》",https://www.viki.com/tv/35629c-degree-of-love,99,9.17,9437,0,2017-09-19T08:25:18Z,kr
"Thirty But Seventeen","虽然30但仍17",https://www.viki.com/tv/36109c-thirty-but-seventeen,99,9.62,112282,3,2018-06-14T06:34:17Z,kr
"Playful Kiss","恶作剧之吻",https://www.viki.com/tv/504c-playful-kiss,98,9.27,107674,16,2009-08-12T17:55:31Z,kr
"Bride of the Water God","《河伯的新娘 2017》",https://www.viki.com/tv/35438c-bride-of-the-water-god,99,9.21,97950,23,2017-05-22T06:44:44Z,kr
"High Society","上流社会",https://www.viki.com/tv/27124c-high-society,88,9.04,35378,4,2015-02-25T22:43:51Z,kr
"Kingdom: Legendary War","王国：传奇战争",https://www.viki.com/tv/37746c-kingdom-legendary-war,100,9.64,24083,11,2021-03-23T11:57:18Z,kr
"Touch Your Heart","《触及真心》",https://www.viki.com/tv/36416c-touch-your-heart,100,9.54,128125,34,2018-12-11T09:30:35Z,kr
"BOYS PLANET","少年星球",https://www.viki.com/tv/39288c-boys-planet,86,9.43,11078,12,2023-01-20T06:14:11Z,kr
"Devilish Joy","马成的喜悦",https://www.viki.com/tv/35734c-devilish-joy,99,9.47,50118,16,2017-12-12T05:45:51Z,kr
"Pinocchio","匹诺曹",https://www.viki.com/tv/23066c-pinocchio,99,9.53,93076,18,2014-02-04T20:40:11Z,kr
"The Great Doctor","信义",https://www.viki.com/tv/1058c-the-great-doctor,98,9.32,31626,0,2010-02-15T09:45:47Z,kr
"Shopaholic Louis","购物王路易",https://www.viki.com/tv/32198c-shopaholic-louis,89,9.44,46944,10,2016-05-27T19:51:35Z,kr
"Angel's Last Mission: Love","仅此一次的爱情",https://www.viki.com/tv/36575c-angels-last-mission-love,99,9.54,69618,4,2019-04-23T03:00:30Z,kr
"Color Rush","Color Rush",https://www.viki.com/tv/37605c-color-rush,100,9.41,96109,6,2020-12-17T01:25:28Z,kr
"The Penthouse","The Penthouse",https://www.viki.com/tv/37381c-the-penthouse,99,9.32,66278,2,2020-09-08T07:51:14Z,kr
"Love in the Moonlight","",https://www.viki.com/tv/30308c-love-in-the-moonlight,99,9.61,40350,4,2015-12-24T12:39:05Z,kr
"Clean with Passion for Now","先热情地打扫吧",https://www.viki.com/tv/35747c-clean-with-passion-for-now,99,9.37,103164,0,2017-12-12T05:47:37Z,kr
"Just Between Lovers","无论晴雨",https://www.viki.com/tv/35617c-just-between-lovers,98,9.5,78631,4,2017-09-08T05:56:25Z,kr
"Fated to Love You","命中注定我爱你",https://www.viki.com/tv/23484c-fated-to-love-you,97,9.53,51391,3,2014-03-15T14:39:17Z,kr
"Mr. Queen: The Secret","哲仁皇后：秘密",https://www.viki.com/tv/37688c-mr-queen-the-secret,100,9.42,54480,0,2021-02-05T02:56:51Z,kr
"Personal Taste","个人取向",https://www.viki.com/tv/914c-personal-taste,97,9.31,156147,0,2010-01-11T11:12:41Z,kr
"Be My Boyfriend","合约今天开始",https://www.viki.com/tv/37455c-be-my-boyfriend,100,9.37,108886,2,2020-10-20T01:49:29Z,kr
"Mr. Temporary","临时先生",https://www.viki.com/tv/36621c-mr-temporary,67,9.48,12068,20,2019-05-22T08:00:24Z,kr
"To My Star","致我的明星",https://www.viki.com/tv/37603c-to-my-star,100,9.51,47886,7,2020-12-16T03:00:49Z,kr
"River Where the Moon Rises","《月升之江》",https://www.viki.com/tv/37627c-river-where-the-moon-rises,100,9.36,40303,8,2021-01-08T03:05:03Z,kr
"Now, We Are Breaking Up","现正分手中",https://www.viki.com/tv/38190c-now-we-are-breaking-up,96,8.14,63131,13,2021-10-13T02:32:34Z,kr
"Military Prosecutor Doberman","《Military Prosecutor Doberman》",https://www.viki.com/tv/38377c-military-prosecutor-doberman,100,9.49,37595,5,2022-02-03T08:07:01Z,kr
"Kokdu: Season of Deity","《木偶的季节》",https://www.viki.com/tv/39109c-kokdu-season-of-deity,96,8.91,14847,22,2022-12-16T05:14:26Z,kr
"Doctor John","《医生耀汉》",https://www.viki.com/tv/36646c-doctor-john,99,9.54,52337,28,2019-06-19T01:26:45Z,kr
"Cheese In The Trap","奶酪陷阱",https://www.viki.com/tv/23141c-cheese-in-the-trap,100,8.66,56986,1,2014-02-13T12:13:36Z,kr
"Lawless Lawyer","武法律师",https://www.viki.com/tv/35833c-lawless-lawyer,99,9.52,62693,43,2018-03-14T04:51:31Z,kr
"Coffee Prince","咖啡王子1号店",https://www.viki.com/tv/247c-coffee-prince,99,9.48,44758,0,2009-04-30T17:25:47Z,kr
"My Love Eun Dong","亲爱的恩东",https://www.viki.com/tv/27377c-my-love-eun-dong,89,9.45,24488,2,2015-03-24T20:50:58Z,kr
"All the Liquors","酒类一绝",https://www.viki.com/tv/39149c-all-the-liquors,99,8.93,9654,3,2022-12-27T06:38:18Z,kr
"Dear Fair Lady Kong Shim","美女孔心",https://www.viki.com/tv/30484c-dear-fair-lady-kong-shim,97,9.39,25348,0,2016-01-07T01:19:25Z,kr
"I Miss You","想你",https://www.viki.com/tv/9736c-i-miss-you,94,9.21,24812,0,2012-08-20T03:39:22Z,kr
"The Girl Who Sees Smells","看见味道的少女",https://www.viki.com/tv/26605c-the-girl-who-sees-smells,87,9.32,32692,2,2014-12-24T12:02:59Z,kr
"Absolute Boyfriend","《绝对达令》",https://www.viki.com/tv/35861c-absolute-boyfriend,94,9.13,43381,19,2018-04-11T02:00:33Z,kr
"Where Your Eyes Linger","在你视线停留的地方",https://www.viki.com/tv/37111c-where-your-eyes-linger,100,9.43,61211,3,2020-04-16T08:29:22Z,kr
"Love Class","《爱情课堂》",https://www.viki.com/tv/38741c-love-class,100,8.93,19512,0,2022-07-27T08:27:22Z,kr
"You Make Me Dance","你让我跳舞",https://www.viki.com/tv/37669c-you-make-me-dance,99,9.45,62174,14,2021-01-20T08:45:29Z,kr
"Mouse","Mouse",https://www.viki.com/tv/37678c-mouse,99,9.56,16004,34,2021-01-27T10:11:46Z,kr
"Fight For My Way","三流之路",https://www.viki.com/tv/34479c-fight-for-my-way,100,9.56,102631,2,2017-02-10T23:07:49Z,kr
"Young Actors’ Retreat","青春 MT",https://www.viki.com/tv/38780c-young-actors-retreat,100,9.81,24596,5,2022-08-19T04:09:53Z,kr
"Oh My Ghostess","Oh 我的鬼神君",https://www.viki.com/tv/27709c-oh-my-ghostess,93,9.52,49685,1,2015-04-11T21:30:12Z,kr
"At a Distance, Spring is Green","远看是蔚蓝的春天",https://www.viki.com/tv/35439c-at-a-distance-spring-is-green,100,9.36,95948,21,2017-05-22T06:44:44Z,kr
"Secret Garden","秘密花园",https://www.viki.com/tv/1565c-secret-garden,94,9.36,55275,4,2010-07-10T00:52:44Z,kr
"I'll Go to You When the Weather is Nice","天气好的话，我会去找你",https://www.viki.com/tv/36913c-ill-go-to-you-when-the-weather-is-nice,99,9.32,69907,1,2019-12-19T01:47:00Z,kr
"The Best Hit","最佳的一击",https://www.viki.com/tv/35431c-the-best-hit,100,9.34,35194,1,2017-05-22T06:44:43Z,kr
"The Law Cafe","依法相爱吧",https://www.viki.com/tv/38792c-the-law-cafe,99,9.38,21826,1,2022-08-26T01:50:35Z,kr
"Love Mate","恋爱伴侣",https://www.viki.com/tv/39719c-love-mate,99,9.14,20323,9,2023-04-11T05:58:38Z,kr
"He Is Psychometric","会读心术的那小子",https://www.viki.com/tv/36489c-he-is-psychometric,99,9.51,63950,35,2019-03-05T05:02:14Z,kr
"Queen: Love and War","拣择－女人们的战争",https://www.viki.com/tv/36840c-queen-love-and-war,100,9.36,43734,18,2019-11-13T09:30:34Z,kr
"Gaduri Restaurant","加斗里生鱼片店",https://www.viki.com/tv/37459c-gaduri-restaurant,99,9.25,83695,0,2020-10-20T01:53:51Z,kr
"Oh My Venus","我的维纳斯",https://www.viki.com/tv/28538c-oh-my-venus,99,9.68,154728,5,2015-07-17T08:51:51Z,kr
"Beauty Inside","爱上变身情人",https://www.viki.com/tv/36421c-beauty-inside,99,9.5,57596,0,2018-12-11T09:30:54Z,kr
"Because This Is My First Life","今生是第一次",https://www.viki.com/tv/35630c-because-this-is-my-first-life,96,9.49,63533,32,2017-09-21T08:32:09Z,kr
"Angel Eyes","天使之眼",https://www.viki.com/tv/22452c-angel-eyes,98,9.14,19774,5,2013-12-13T03:54:17Z,kr
"The Time We Were Not in Love","爱你的时间",https://www.viki.com/tv/26594c-the-time-we-were-not-in-love,99,9.14,17082,3,2014-12-22T14:17:15Z,kr
"Memorist","Memorist",https://www.viki.com/tv/36983c-memorist,51,9.44,32972,29,2020-01-21T09:21:02Z,kr
"The Penthouse 2","Penthouse 第二季",https://www.viki.com/tv/37542c-the-penthouse-2,98,9.54,53094,0,2020-12-09T10:56:11Z,kr
"To My Star 2","致我的星星 2",https://www.viki.com/tv/38561c-to-my-star-2,100,9.61,44879,3,2022-05-16T06:09:59Z,kr
"Encounter","男朋友",https://www.viki.com/tv/36239c-encounter,98,9.51,98973,28,2018-08-21T02:54:31Z,kr
"Kissable Lips","想咬一口的嘴唇",https://www.viki.com/tv/38365c-kissable-lips,100,8.74,51581,3,2022-01-20T08:56:47Z,kr
"Semantic Error: The Movie","语意错误",https://www.viki.com/movies/38973c-semantic-error-the-movie,99,9.73,15519,1,2022-11-17T07:33:01Z,kr
"Master's Sun","主君的太阳",https://www.viki.com/tv/11915c-masters-sun,99,9.44,58164,1,2013-01-18T15:06:35Z,kr
"Mr. Heart","Mr. Heart",https://www.viki.com/tv/37272c-mr-heart,99,9.39,62665,5,2020-07-07T05:16:29Z,kr
"I Remember You","记得你",https://www.viki.com/tv/26840c-i-remember-you,94,9.24,44947,1,2015-01-21T18:37:04Z,kr
"School 2017","学校2017",https://www.viki.com/tv/35518c-school-2017,99,9.4,83857,0,2017-06-22T09:20:43Z,kr
"Meow, the Secret Boy","喵，秘密男孩",https://www.viki.com/tv/36944c-meow-the-secret-boy,99,9.25,92837,19,2020-01-06T06:34:31Z,kr
"Psychopath Diary","精神病患者日记",https://www.viki.com/tv/36757c-psychopath-diary,99,9.47,21208,29,2019-09-17T02:48:09Z,kr
